Year_Month,Total_Monthly_Sales,Formatted_Sales,Number_of_Weeks,Average_Weekly_Sales,Formatted_Avg_Weekly_Sales,Year_Month_Label
2010-02,190332983.04,"$190,332,983.04",4,47583245.76,"$47,583,245.76",2010-02
2010-03,181919802.5,"$181,919,802.50",4,45479950.625,"$45,479,950.62",2010-03
2010-04,231412368.05,"$231,412,368.05",5,46282473.61,"$46,282,473.61",2010-04
2010-05,186710934.34,"$186,710,934.34",4,46677733.585,"$46,677,733.59",2010-05
2010-06,192246172.36,"$192,246,172.36",4,48061543.09,"$48,061,543.09",2010-06
2010-07,232580125.98,"$232,580,125.98",5,46516025.195999995,"$46,516,025.20",2010-07
2010-08,187640110.89,"$187,640,110.89",4,46910027.7225,"$46,910,027.72",2010-08
2010-09,177267896.37,"$177,267,896.37",4,44316974.0925,"$44,316,974.09",2010-09
2010-10,217161824.02,"$217,161,824.02",5,43432364.804000005,"$43,432,364.80",2010-10
2010-11,202853370.14,"$202,853,370.14",4,50713342.535,"$50,713,342.53",2010-11
2010-12,288760532.72,"$288,760,532.72",5,57752106.54400001,"$57,752,106.54",2010-12
2011-01,163703966.83,"$163,703,966.83",4,40925991.7075,"$40,925,991.71",2011-01
2011-02,186331327.87,"$186,331,327.87",4,46582831.9675,"$46,582,831.97",2011-02
2011-03,179356448.29,"$179,356,448.29",4,44839112.0725,"$44,839,112.07",2011-03
2011-04,226526510.97,"$226,526,510.97",5,45305302.194,"$45,305,302.19",2011-04
2011-05,181648158.16,"$181,648,158.16",4,45412039.54,"$45,412,039.54",2011-05
2011-06,189773385.19,"$189,773,385.19",4,47443346.2975,"$47,443,346.30",2011-06
2011-07,229911398.87,"$229,911,398.87",5,45982279.774000004,"$45,982,279.77",2011-07
2011-08,188599332.25,"$188,599,332.25",4,47149833.0625,"$47,149,833.06",2011-08
2011-09,220847738.42,"$220,847,738.42",5,44169547.684,"$44,169,547.68",2011-09
2011-10,183261283.15,"$183,261,283.15",4,45815320.7875,"$45,815,320.79",2011-10
2011-11,210162354.87,"$210,162,354.87",4,52540588.7175,"$52,540,588.72",2011-11
2011-12,288078102.48,"$288,078,102.48",5,57615620.49600001,"$57,615,620.50",2011-12
2012-01,168894471.66,"$168,894,471.66",4,42223617.915,"$42,223,617.91",2012-01
2012-02,192063579.54,"$192,063,579.54",4,48015894.885,"$48,015,894.88",2012-02
2012-03,231509650.49,"$231,509,650.49",5,46301930.098000005,"$46,301,930.10",2012-03
2012-04,188920905.95,"$188,920,905.95",4,47230226.4875,"$47,230,226.49",2012-04
2012-05,188766479.45,"$188,766,479.45",4,47191619.8625,"$47,191,619.86",2012-05
2012-06,240610329.29,"$240,610,329.29",5,48122065.857999995,"$48,122,065.86",2012-06
2012-07,187509452.4,"$187,509,452.40",4,46877363.1,"$46,877,363.10",2012-07
2012-08,236850765.68,"$236,850,765.68",5,47370153.136,"$47,370,153.14",2012-08
2012-09,180645544.47,"$180,645,544.47",4,45161386.1175,"$45,161,386.12",2012-09
2012-10,184361680.42,"$184,361,680.42",4,46090420.105,"$46,090,420.10",2012-10
