Store,Average_Weekly_Sales,Sales_Std_Dev,CV_Percent
35,"$919,724.98","$211,243.46",22.97
7,"$570,617.31","$112,585.47",19.73
15,"$623,312.47","$120,538.65",19.34
29,"$539,451.43","$99,120.14",18.37
23,"$1,389,864.46","$249,788.04",17.97
21,"$756,069.08","$128,752.81",17.03
45,"$785,981.41","$130,168.53",16.56
16,"$519,247.73","$85,769.68",16.52
18,"$1,084,718.42","$176,641.51",16.28
36,"$373,511.99","$60,725.17",16.26
25,"$706,721.53","$112,976.79",15.99
10,"$1,899,424.57","$302,262.06",15.91
14,"$2,020,978.40","$317,569.95",15.71
22,"$1,028,501.04","$161,251.35",15.68
39,"$1,450,668.13","$217,466.45",14.99
41,"$1,268,125.42","$187,907.16",14.82
12,"$1,009,001.61","$139,166.87",13.79
28,"$1,323,522.24","$181,758.97",13.73
6,"$1,564,728.19","$212,525.86",13.58
27,"$1,775,216.20","$239,930.14",13.52
19,"$1,444,999.04","$191,722.64",13.27
13,"$2,003,620.31","$265,507.00",13.25
20,"$2,107,676.87","$275,900.56",13.09
4,"$2,094,712.96","$266,201.44",12.71
9,"$543,980.55","$69,028.67",12.69
17,"$893,581.39","$112,162.94",12.55
24,"$1,356,755.39","$167,745.68",12.36
40,"$964,128.04","$119,002.11",12.34
2,"$1,925,751.34","$237,683.69",12.34
11,"$1,356,383.12","$165,833.89",12.23
5,"$318,011.81","$37,737.97",11.87
32,"$1,166,568.15","$138,017.25",11.83
8,"$908,749.52","$106,280.83",11.7
3,"$402,704.44","$46,319.63",11.5
38,"$385,731.65","$42,768.17",11.09
26,"$1,002,911.84","$110,431.29",11.01
34,"$966,781.56","$104,630.16",10.82
1,"$1,555,264.40","$155,980.77",10.03
33,"$259,861.69","$24,132.93",9.29
42,"$556,403.86","$50,262.93",9.03
31,"$1,395,901.44","$125,855.94",9.02
44,"$302,748.87","$24,762.83",8.18
43,"$633,324.72","$40,598.41",6.41
30,"$438,579.62","$22,809.67",5.2
37,"$518,900.28","$21,837.46",4.21
