Rank,Store,Total_Sales,Formatted_Sales
1,20,301397792.46,"$301,397,792.46"
2,4,299543953.38,"$299,543,953.38"
3,14,288999911.34,"$288,999,911.34"
4,13,286517703.8,"$286,517,703.80"
5,2,275382440.98,"$275,382,440.98"
6,10,271617713.89,"$271,617,713.89"
7,27,253855916.88,"$253,855,916.88"
8,6,223756130.64,"$223,756,130.64"
9,1,222402808.85,"$222,402,808.85"
10,39,207445542.47,"$207,445,542.47"
11,19,206634862.1,"$206,634,862.10"
12,31,199613905.5,"$199,613,905.50"
13,23,198750617.85,"$198,750,617.85"
14,24,194016021.28,"$194,016,021.28"
15,11,193962786.8,"$193,962,786.80"
16,28,189263680.58,"$189,263,680.58"
17,41,181341934.89000002,"$181,341,934.89"
18,32,166819246.16,"$166,819,246.16"
19,18,155114734.21,"$155,114,734.21"
20,22,147075648.57,"$147,075,648.57"
21,12,144287230.15,"$144,287,230.15"
22,26,143416393.79,"$143,416,393.79"
23,34,138249763.0,"$138,249,763.00"
24,40,137870309.79,"$137,870,309.79"
25,35,131520672.08,"$131,520,672.08"
26,8,129951181.13,"$129,951,181.13"
27,17,127782138.83,"$127,782,138.83"
28,45,112395341.42,"$112,395,341.42"
29,21,108117878.92,"$108,117,878.92"
30,25,101061179.17,"$101,061,179.17"
31,43,90565435.41,"$90,565,435.41"
32,15,89133683.92,"$89,133,683.92"
33,7,81598275.14,"$81,598,275.14"
34,42,79565752.42999999,"$79,565,752.43"
35,9,77789218.99,"$77,789,218.99"
36,29,77141554.31,"$77,141,554.31"
37,16,74252425.4,"$74,252,425.40"
38,37,74202740.32,"$74,202,740.32"
39,30,62716885.12,"$62,716,885.12"
40,3,57586735.07,"$57,586,735.07"
41,38,55159626.42,"$55,159,626.42"
42,36,53412214.97,"$53,412,214.97"
43,5,45475688.9,"$45,475,688.90"
44,44,43293087.84,"$43,293,087.84"
45,33,37160221.96,"$37,160,221.96"
